Architecture,Feature,Overall_Fmax,Overall_AUPRC,MFO_Fmax,BPO_Fmax,CCO_Fmax
CNN1D,E,0.338,0.233,0.3,0.11,0.362
CNN1D,ESD,0.336,0.248,0.304,0.116,0.363
CNN1D,PESD,0.334,0.234,0.315,0.128,0.385
CNN1D,PES,0.327,0.23,0.282,0.114,0.383
CNN1D,PE,0.325,0.186,0.277,0.114,0.373
CNN1D,ES,0.323,0.22,0.291,0.091,0.355
CNN1D,PSD,0.318,0.198,0.29,0.109,0.339
CNN1D,P,0.308,0.233,0.271,0.079,0.365
CNN1D,PS,0.294,0.194,0.264,0.113,0.339
MLP,ESD,0.312,0.207,0.257,0.106,0.337
MLP,PE,0.312,0.223,0.286,0.116,0.354
MLP,ES,0.308,0.216,0.276,0.118,0.349
MLP,PESD,0.304,0.181,0.256,0.109,0.346
MLP,E,0.301,0.224,0.264,0.112,0.333
MLP,P,0.294,0.169,0.266,0.1,0.337
MLP,PS,0.293,0.151,0.25,0.068,0.335
MLP,PES,0.286,0.19,0.249,0.094,0.323
MLP,PSD,0.263,0.138,0.235,0.074,0.294
Transformer,PES,0.343,0.321,0.318,0.154,0.355
Transformer,E,0.335,0.241,0.297,0.12,0.356
Transformer,PESD,0.333,0.253,0.307,0.13,0.347
Transformer,ES,0.331,0.237,0.296,0.115,0.36
Transformer,PE,0.329,0.263,0.297,0.107,0.365
Transformer,ESD,0.327,0.259,0.287,0.108,0.36
Transformer,P,0.306,0.214,0.288,0.115,0.341
Transformer,PSD,0.305,0.221,0.282,0.123,0.316
Transformer,PS,0.299,0.207,0.276,0.1,0.325
